,Country,Rank,Title,Artists,Album,Explicit,Duration
0,Global,1,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02
1,Global,2,Blinding Lights,The Weeknd,After Hours,0,3:20
2,Global,3,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01
3,Global,4,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),1,2:56
4,Global,5,Toosie Slide,Drake,Dark Lane Demo Tapes,1,4:07
5,Global,6,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",death bed (coffee for your head) (feat. beabadoobee),0,2:53
6,Global,7,THE SCOTTS,"THE SCOTTS, Travis Scott, Kid Cudi",THE SCOTTS,1,2:45
7,Global,8,Don't Start Now,Dua Lipa,Future Nostalgia,0,3:03
8,Global,9,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",Stuck with U,0,3:48
9,Global,10,Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,0,3:29
10,Global,11,GOOBA,6ix9ine,GOOBA,1,2:12
11,Global,12,Blueberry Faygo,Lil Mosey,Certified Hitmaker,1,2:42
12,Global,13,The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,1,3:16
13,Global,14,ily (i love you baby) (feat. Emilee),"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),0,2:56
14,Global,15,Break My Heart,Dua Lipa,Future Nostalgia,0,3:41
15,Global,16,Supalonely,"BENEE, Gus Dapperton",STELLA & STEVE,1,3:43
16,Global,17,Intentions (feat. Quavo),"Justin Bieber, Quavo",Changes,0,3:32
17,Global,18,In Your Eyes,The Weeknd,After Hours,1,3:57
18,Global,19,Sunday Best,Surfaces,Where the Light Is,0,2:38
19,Global,20,Say So,Doja Cat,Hot Pink,1,3:57
20,Global,21,Falling,Trevor Daniel,Nicotine,0,2:39
21,Global,22,Savage Remix (feat. Beyoncé),"Megan Thee Stallion, Beyoncé",Savage Remix (feat. Beyoncé),1,4:02
22,Global,23,Safaera,"Bad Bunny, Jowell & Randy, Nengo Flow",YHLQMDLG,1,4:55
23,Global,24,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,0,3:02
24,Global,25,Yo Perreo Sola,Bad Bunny,YHLQMDLG,0,2:52
25,Global,26,Circles,Post Malone,Hollywood's Bleeding,0,3:35
26,Global,27,Say So (feat. Nicki Minaj),"Doja Cat, Nicki Minaj",Say So (feat. Nicki Minaj),1,3:26
27,Global,28,Party Girl,StaySolidRocky,Party Girl,0,2:27
28,Global,29,Watermelon Sugar,Harry Styles,Fine Line,0,2:54
29,Global,30,goosebumps,Travis Scott,Birds In The Trap Sing McKnight,1,4:03
30,Global,31,Tusa,"KAROL G, Nicki Minaj",Tusa,0,3:20
31,Global,32,WHATS POPPIN,Jack Harlow,Sweet Action,1,2:19
32,Global,33,Boss Bitch,Doja Cat,Boss Bitch,0,2:14
33,Global,34,ROXANNE,Arizona Zervas,ROXANNE,1,2:43
34,Global,35,SICKO MODE,Travis Scott,ASTROWORLD,1,5:12
35,Global,36,Play Date,Melanie Martinez,Cry Baby (Deluxe Edition),1,2:59
36,Global,37,Be Kind (with Halsey),"Marshmello, Halsey",Be Kind (with Halsey),0,2:52
37,Global,38,Life Is Good (feat. Drake),"Future, Drake",High Off Life,1,3:57
38,Global,39,HIGHEST IN THE ROOM,Travis Scott,HIGHEST IN THE ROOM,1,2:55
39,Global,40,Breaking Me,"Topic, A7S",Breaking Me,0,2:46
40,Global,41,Adore You,Harry Styles,Fine Line,0,3:27
41,Global,42,Rojo,J Balvin,Colores,0,2:30
42,Global,43,Before You Go,Lewis Capaldi,Divinely Uninspired To A Hellish Extent (Extended Edition),0,3:35
43,Global,44,Memories,Maroon 5,Memories,0,3:09
44,Global,45,After Party,Don Toliver,Heaven Or Hell,1,2:47
45,Global,46,bad guy,Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",0,3:14
46,Global,47,Señorita,"Shawn Mendes, Camila Cabello",Shawn Mendes (Deluxe),0,3:10
47,Global,48,Daechwita,Agust D,D-2,1,3:45
48,Global,49,MAMACITA,"Black Eyed Peas, Ozuna, J. Rey Soul",MAMACITA,1,4:09
49,Global,50,Favorito,Camilo,Por Primera Vez,0,3:29
50,Argentina,1,Colocao,Nicki Nicole,Colocao,1,2:59
51,Argentina,2,Favorito,Camilo,Por Primera Vez,0,3:29
52,Argentina,3,PORFA,"Feid, Justin Quiles",FERXXO (VOL 1: M.O.R),0,3:52
53,Argentina,4,Yo Perreo Sola,Bad Bunny,YHLQMDLG,0,2:52
54,Argentina,5,"C.R.O: Bzrp Music Session, Vol. 29","Bizarrap, C.R.O","C.R.O: Bzrp Music Session, Vol. 29",0,2:26
55,Argentina,6,Elegí (feat. Dímelo Flow),"Rauw Alejandro, Dalex, Lenny Tavárez, Dímelo Flow",Elegí (feat. Dímelo Flow),0,3:17
56,Argentina,7,Rojo,J Balvin,Colores,0,2:30
57,Argentina,8,Safaera,"Bad Bunny, Jowell & Randy, Nengo Flow",YHLQMDLG,1,4:55
58,Argentina,9,Tattoo,Rauw Alejandro,Tattoo,0,3:22
59,Argentina,10,Inolvidable,"Ovy On The Drums, Beéle",Inolvidable,0,3:45
60,Argentina,11,Tusa,"KAROL G, Nicki Minaj",Tusa,0,3:20
61,Argentina,12,Hola - Remix,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Hola (Remix),0,4:09
62,Argentina,13,Por Primera Vez,"Camilo, Evaluna Montaner",Por Primera Vez,0,3:02
63,Argentina,14,Diosa,Myke Towers,Easy Money Baby,1,3:34
64,Argentina,15,La Jeepeta - Remix,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",La Jeepeta (Remix),1,5:45
65,Argentina,16,Relación,Sech,1 of 1,0,3:04
66,Argentina,17,Morado,J Balvin,Colores,0,3:20
67,Argentina,18,Sigues Con El,"Dímelo Flow, Arcangel, Sech",Sigues Con El,0,3:46
68,Argentina,19,Blinding Lights,The Weeknd,After Hours,0,3:20
69,Argentina,20,Tak Tiki Tak,Harry Nach,Tak Tiki Tak,1,3:32
70,Argentina,21,Dance Monkey,Tones And I,Dance Monkey (Stripped Back) / Dance Monkey,0,3:29
71,Argentina,22,Fantasias,"Rauw Alejandro, Farruko",Fantasias,0,3:19
72,Argentina,23,Loco,Beéle,Loco,0,3:24
73,Argentina,24,Locura,"Cali Y El Dandee, Sebastian Yatra",Colegio,0,3:29
74,Argentina,25,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),1,2:56
75,Argentina,26,Don't Start Now,Dua Lipa,Future Nostalgia,0,3:03
76,Argentina,27,La Difícil,Bad Bunny,YHLQMDLG,1,2:43
77,Argentina,28,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02
78,Argentina,29,Amarillo,J Balvin,Colores,0,2:37
79,Argentina,30,ALMA DINAMITA,WOS,Tres Puntos Suspensivos,0,2:53
80,Argentina,31,Ignorantes,"Bad Bunny, Sech",YHLQMDLG,1,3:30
81,Argentina,32,El Efecto - Remix,"Rauw Alejandro, Chencho Corleone, KEVVO, Bryant Myers, Lyanno, Dalex",El Efecto (Remix),1,4:49
82,Argentina,33,High,Maria Becerra,High,1,3:07
83,Argentina,34,Ya No Más,"Fer Palacio, DJ Alex, Santiago Saez",Ya No Más,0,2:38
84,Argentina,35,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",death bed (coffee for your head) (feat. beabadoobee),0,2:53
85,Argentina,36,Flasheaste Amor,"Agapornis, Hernan y La Champion's Liga, Lauro",Flasheaste Amor,0,2:55
86,Argentina,37,Como Llora,Juanfran,Como Llora,0,3:07
87,Argentina,38,Si Me Dices Que Sí,"Reik, Farruko, Camilo",Si Me Dices Que Sí,0,3:31
88,Argentina,39,Tutu,"Camilo, Pedro Capó",Por Primera Vez,0,2:59
89,Argentina,40,Muévelo,"Nicky Jam, Daddy Yankee",Muévelo,0,3:14
90,Argentina,41,Dónde Estás,KHEA,Dónde Estás,0,2:33
91,Argentina,42,Recuerdo,"TINI, Mau y Ricky",Recuerdo,0,3:20
92,Argentina,43,Bounce,Cazzu,Bonus Trap,0,2:13
93,Argentina,44,La Cama - Remix,"Lunay, Myke Towers, Ozuna, Chencho Corleone, Rauw Alejandro",La Cama (Remix),0,5:30
94,Argentina,45,BYE ME FUI,Bad Bunny,LAS QUE NO IBAN A SALIR,1,2:58
95,Argentina,46,La Pared 360,"Lenny Tavárez, Justin Quiles",La Pared 360,1,2:34
96,Argentina,47,Moon,"Maria Becerra, DANI",Moon,0,3:22
97,Argentina,48,Bellaquita - Remix,"Dalex, Lenny Tavárez, Anitta, Natti Natasha, Farruko, Justin Quiles",Modo Avión,1,5:04
98,Argentina,49,ALGO DEL VACÍO,"WOS, Manu Oliva",Tres Puntos Suspensivos,0,3:33
99,Argentina,50,Par-Tusa,El Dipy,Par-Tusa,1,3:10
100,Australia,1,ROCKSTAR (feat. Roddy Ricch),"DaBaby, Roddy Ricch",BLAME IT ON BABY,1,3:01
101,Australia,2,Roses - Imanbek Remix,"SAINt JHN, Imanbek",Roses (Imanbek Remix),1,2:56
102,Australia,3,Blinding Lights,The Weeknd,After Hours,0,3:20
103,Australia,4,Rain On Me (with Ariana Grande),"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),0,3:02
104,Australia,5,Toosie Slide,Drake,Dark Lane Demo Tapes,1,4:07
105,Australia,6,Stuck with U (with Justin Bieber),"Ariana Grande, Justin Bieber",Stuck with U,0,3:48
106,Australia,7,death bed (coffee for your head) (feat. beabadoobee),"Powfu, beabadoobee",death bed (coffee for your head) (feat. beabadoobee),0,2:53
107,Australia,8,Supalonely,"BENEE, Gus Dapperton",STELLA & STEVE,1,3:43
108,Australia,9,Break My Heart,Dua Lipa,Future Nostalgia,0,3:41
109,Australia,10,Don't Start Now,Dua Lipa,Future Nostalgia,0,3:03
